Sample_ID,IGSN,Material,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O5,ZnO,Fe,Mn,FeS2,S,S_(SLFI),C_(non-carb),TOC,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
*BA52-005-002-VG2201, ,GL,49.85,1.54,14.07,,,,,12.24,,,6.95,11.31,,2.17,0.15,0.14,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-002-VG2202, ,GL,50.87,1.52,14.38,,,,,12.38,,,6.69,11.28,,2.11,0.17,0.15,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-004, ,GL,50.31,1.52,14.13,,,,,12.23,,,7.26,11.25,,2.14,0.16,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-005, ,GL,50.38,1.54,14.46,,,,,12.22,,,6.91,11.29,,2.1,0.17,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-006, ,GL,50.93,1.6,14.02,,,,,12.59,,,6.63,11.35,,2.13,0.18,0.13,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-007, ,GL,50.74,1.58,14.29,,,,,12.39,,,7.07,11.33,,2.1,0.18,0.15,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-008, ,GL,50.99,1.57,14.8,,,,,12.28,,,7.14,11.39,,2.05,0.2,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-009, ,GL,51.13,1.58,14.24,,,,,12.27,,,6.94,11.26,,2.1,0.19,0.16,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-010, ,GL,50.7,1.64,14.14,,,,,12.55,,,6.61,11.42,,2.1,0.18,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-011, ,GL,50.73,1.56,13.95,,,,,12.35,,,6.57,11.38,,2.25,0.17,0.11,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-012, ,GL,51,1.56,13.86,,,,,12.39,,,7.11,11.43,,2.18,0.21,0.12,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
