Sample_ID,IGSN,Material,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O5,ZnO,Fe,Mn,FeS2,S,S_(SLFI),C_(non-carb),TOC,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
JS20266-001, ,GL,51,2,13.5,,,,,12.4,,0.23,6.76,10.7,,3.04,0.12,0.17,,,,,,,,,,,,,,,,,9.024843,-104.185878,-2702,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20266-001, ,GL,51,2,13.5,,,,,12.4,,0.23,6.76,10.7,,3.04,0.12,0.17,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20266-002, ,GL,50.8,2.08,13.6,,,,,12.4,,0.22,6.68,10.5,,3.11,0.12,0.21,,,,,,,,,,,,,,,,,9.026063,-104.187597,-2678,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-003, ,GL,51.1,1.77,14.2,,,,,10.8,,0.21,7.04,10.9,,3.06,0.16,0.21,,,,,,,,,,,,,,,,,9.027778,-104.190064,-2649,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-004, ,GL,50.9,2.36,13.2,,,,,13.4,,0.23,6.18,9.9,,3.13,0.17,0.23,,,,,,,,,,,,,,,,,9.028945,-104.19384,-2633,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-006, ,GL,51.8,1.7,14.2,,,,,10.9,,0.2,6.72,10.6,,3.05,0.18,0.14,,,,,,,,,,,,,,,,,9.029283,-104.201211,-2630,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-007, ,GL,51,2.36,13.2,,,,,13.5,,0.25,6.16,9.7,,3.18,0.18,0.25,,,,,,,,,,,,,,,,,9.031685,-104.205708,-2678,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-008, ,GL,50.8,1.98,13.9,,,,,11.7,,0.22,7.12,10.9,,2.86,0.13,0.2,,,,,,,,,,,,,,,,,9.032375,-104.207357,-2668,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-009, ,GL,50.9,1.93,14,,,,,11.4,,0.21,7.1,11.1,,2.84,0.12,0.19,,,,,,,,,,,,,,,,,9.032691,-104.207889,-2653,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-010, ,GL,51.1,1.93,13.9,,,,,11.5,,0.21,6.97,11,,2.89,0.14,0.21,,,,,,,,,,,,,,,,,9.033384,-104.210395,-2649,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-011, ,GL,50.8,2.23,13.3,,,,,12.9,,0.24,6.43,10.3,,3.26,0.18,0.27,,,,,,,,,,,,,,,,,9.034221,-104.211295,-2630,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-012, ,GL,50.8,2.15,13.4,,,,,12.7,,0.24,6.51,10.7,,3.27,0.18,0.22,,,,,,,,,,,,,,,,,9.034835,-104.211599,-2603,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-013, ,GL,50.7,2.29,13.2,,,,,12.9,,0.23,6.34,10.5,,3.21,0.17,0.25,,,,,,,,,,,,,,,,,9.035714,-104.207826,-2667,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-014, ,GL,50.4,2.14,13.5,,,,,12.4,,0.22,6.69,10.7,,3.11,0.16,0.22,,,,,,,,,,,,,,,,,9.037423,-104.208278,-2679,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-015, ,GL,50.5,2.38,13.1,,,,,13.3,,0.23,6.27,10.1,,3.27,0.18,0.26,,,,,,,,,,,,,,,,,9.038569,-104.209528,-2635,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-016, ,GL,50.6,2.02,13.7,,,,,12.1,,0.23,6.87,10.7,,3.15,0.16,0.22,,,,,,,,,,,,,,,,,9.040715,-104.209941,-2626,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-017, ,GL,50.6,1.87,14,,,,,11.3,,0.2,7.24,11.4,,3.01,0.14,0.19,,,,,,,,,,,,,,,,,9.04563,-104.207826,-2641,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-018, ,GL,50.8,2.01,13.7,,,,,12.1,,0.22,6.91,10.9,,3.14,0.16,0.22,,,,,,,,,,,,,,,,,9.046804,-104.211612,-2620,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-019, ,GL,50.8,1.86,13.7,,,,,11.9,,0.23,6.88,11,,3.09,0.14,0.2,,,,,,,,,,,,,,,,,9.074427,-104.211567,-2773,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-021, ,GL,51.1,1.85,14,,,,,11.9,,0.22,6.94,10.8,,2.96,0.13,0.19,,,,,,,,,,,,,,,,,9.077907,-104.216947,-2795,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-022, ,GL,50.9,1.92,13.9,,,,,12.1,,0.21,6.79,10.7,,2.97,0.13,0.21,,,,,,,,,,,,,,,,,9.079408,-104.218878,-2795,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-023, ,GL,50.9,1.89,13.9,,,,,12,,0.2,6.8,10.8,,2.97,0.13,0.21,,,,,,,,,,,,,,,,,9.080802,-104.219923,-2752,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-024, ,GL,50.9,1.9,13.9,,,,,12,,0.22,6.81,10.7,,2.98,0.13,0.22,,,,,,,,,,,,,,,,,9.083969,-104.22161,-2769,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-025, ,GL,51.1,1.98,13.7,,,,,12.3,,0.22,6.57,10.6,,2.98,0.14,0.22,,,,,,,,,,,,,,,,,9.086032,-104.222167,-2775,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-026, ,GL,50.9,2.13,13.6,,,,,12.8,,0.22,6.34,10.3,,3.06,0.15,0.23,,,,,,,,,,,,,,,,,9.088874,-104.222809,-2700,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-027, ,GL,50.9,2.13,13.6,,,,,12.8,,0.23,6.32,10.2,,3.11,0.14,0.25,,,,,,,,,,,,,,,,,9.092993,-104.224665,-2699,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-028, ,GL,51,2.15,13.5,,,,,12.9,,0.23,6.34,10.3,,3.07,0.15,0.25,,,,,,,,,,,,,,,,,9.094464,-104.225184,-2690,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-029, ,GL,51,2.19,13.3,,,,,12.9,,0.23,6.39,10.2,,3.07,0.15,0.24,,,,,,,,,,,,,,,,,9.096235,-104.225868,-2701,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-030, ,GL,51,1.88,13.8,,,,,11.9,,0.21,7.02,10.7,,2.97,0.12,0.19,,,,,,,,,,,,,,,,,9.101853,-104.227061,-2769,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-031, ,GL,51.1,1.88,13.8,,,,,11.9,,0.22,7.09,10.7,,2.96,0.13,0.18,,,,,,,,,,,,,,,,,9.103302,-104.226895,-2780,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-032, ,GL,50.7,1.85,14,,,,,11.4,,0.22,7.27,11.1,,2.92,0.12,0.18,,,,,,,,,,,,,,,,,9.105264,-104.228945,-2702,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-033, ,GL,50.7,1.84,14,,,,,11.4,,0.22,7.29,11.1,,2.88,0.12,0.2,,,,,,,,,,,,,,,,,9.106838,-104.229995,-2692,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-033, ,GL,50.7,1.84,14,,,,,11.4,,0.22,7.29,11.1,,2.88,0.12,0.2,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-034, ,GL,50.6,1.84,14.1,,,,,11.3,,0.21,7.25,11.1,,2.9,0.11,0.18,,,,,,,,,,,,,,,,,9.108731,-104.230098,-2693,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20266-035, ,GL,51,1.91,13.7,,,,,12.1,,0.22,6.91,10.6,,3,0.12,0.2,,,,,,,,,,,,,,,,,9.111179,-104.226855,-2718,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-036, ,GL,51,1.89,13.8,,,,,11.9,,0.22,7.04,10.7,,2.97,0.13,0.2,,,,,,,,,,,,,,,,,9.11263,-104.224777,-2775,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-037, ,GL,50.8,2.03,13.6,,,,,12.3,,0.22,6.73,10.6,,3.02,0.15,0.2,,,,,,,,,,,,,,,,,9.114216,-104.222521,-2795,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-038, ,GL,50.6,2,13.6,,,,,12.3,,0.23,6.63,10.7,,3.15,0.17,0.2,,,,,,,,,,,,,,,,,9.114745,-104.221849,-2794,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-039, ,GL,50.7,2.04,13.6,,,,,12.4,,0.24,6.57,10.5,,3.21,0.19,0.2,,,,,,,,,,,,,,,,,9.115812,-104.221266,-2782,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-040, ,GL,50.6,1.77,14,,,,,11.5,,0.2,7.24,11.3,,2.96,0.14,0.16,,,,,,,,,,,,,,,,,9.122858,-104.221379,-2727,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-041, ,GL,51.1,1.86,14.1,,,,,11.3,,0.22,6.84,10.7,,3.22,0.21,0.18,,,,,,,,,,,,,,,,,9.125761,-104.221368,-2745,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-043, ,GL,54.1,1.9,13.6,,,,,12,,0.24,4.42,8.2,,4.03,0.41,0.32,,,,,,,,,,,,,,,,,9.127991,-104.220305,-2750,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-045, ,GL,52.2,1.79,13.9,,,,,11.3,,0.22,6.46,10.2,,3.33,0.27,0.17,,,,,,,,,,,,,,,,,9.130948,-104.217596,-2706,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-046, ,GL,65,0.94,12.9,,,,7.17,,,0.15,1.41,3.71,,4.76,1.19,0.17,,,,,,,,,,,,,,,,,9.132575,-104.215839,-2680,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
JS20266-046, ,GL,65,0.94,12.9,,,,7.17,,,0.15,1.41,3.71,,4.76,1.19,0.17,,,,,,,,,,,,,,,,,9.133,-104.216,,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
JS20266-047, ,GL,64.5,0.99,13.2,,,,7.74,,,0.14,1.02,3.53,,4.94,1.22,0.23,,,,,,,,,,,,,,,,,9.136556,-104.210878,-2550,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
JS20266-047, ,GL,64.5,0.99,13.2,,,,7.74,,,0.14,1.02,3.53,,4.94,1.22,0.23,,,,,,,,,,,,,,,,,9.137,-104,,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
JS20266-048, ,GL,50.6,1.92,14.1,,,,,11.6,,0.21,7.34,11,,3.03,0.13,0.19,,,,,,,,,,,,,,,,,9.146351,-104.205023,-2596,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-050, ,GL,64.3,1.07,13.2,,,,8.08,,,0.14,1.27,3.78,,4.23,1.1,0.24,,,,,,,,,,,,,,,,,9.147199,-104.20349,-2549,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
JS20266-050, ,GL,64.3,1.07,13.2,,,,8.08,,,0.14,1.27,3.78,,4.23,1.1,0.24,,,,,,,,,,,,,,,,,9.147,-104.203,,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
JS20266-051, ,GL,50.55,1.94,13.85,,,,11.59,,,0.21,7.33,10.97,,2.86,0.13,0.19,,,,,,,,,,,,,,,,,9.146465,-104.204163,-2592,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2011",EMP,JASON 0266 , 
JS20266-051, ,GL,50.55,1.94,13.85,,,,11.59,,,0.21,7.33,10.97,,2.86,0.13,0.19,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2011",EMP,JASON 0266 , 
JS20266-051, ,GL,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,9.146465,-104.204163,-2592,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2011",FTIR,JASON 0266 , 
JS20266-051, ,GL,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2011",FTIR,JASON 0266 , 
JS20266-051, ,GL,50.6,1.94,13.9,,,,,11.6,,0.21,7.33,11,,2.86,0.13,0.19,,,,,,,,,,,,,,,,,9.146465,-104.204163,-2592,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-051, ,GL,50.6,1.94,13.9,,,,,11.6,,0.21,7.33,11,,2.86,0.13,0.19,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-052, ,GL,50.7,1.93,13.9,,,,,11.6,,0.21,7.3,11,,2.89,0.13,0.18,,,,,,,,,,,,,,,,,9.146118,-104.204579,-2587,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0266 , 
JS20266-053, ,GL,64.3,1.06,13.3,,,,8.06,,,0.14,1.12,3.73,,4.16,1.09,0.25,,,,,,,,,,,,,,,,,9.146254,-104.203525,-2550,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
JS20266-053, ,GL,64.3,1.06,13.3,,,,8.06,,,0.14,1.12,3.73,,4.16,1.09,0.25,,,,,,,,,,,,,,,,,9.146,-104.204,,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
JS20266-053, ,GL,64.3,1.06,13.3,,,,8.06,,,0.14,1.12,3.73,,4.16,1.09,0.25,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
JS20266-053, ,GL,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,9.146254,-104.203525,-2550,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2011",FTIR,JASON 0266 , 
JS20266-053, ,GL,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,9.146,-104.204,,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2011",FTIR,JASON 0266 , 
JS20266-053, ,GL,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2011",FTIR,JASON 0266 , 
JS20266-054, ,GL,59.65,1.72,13.22,,,,11.25,,,0.21,2.28,5.6,,3.91,0.75,0.43,,,,,,,,,,,,,,,,,9.14626,-104.202626,-2547,SPREADING_CENTER,"ANDESITE, igneous:volcanic:intermediate","WANLESS, 2011",EMP,JASON 0266 , 
JS20266-054, ,GL,59.65,1.72,13.22,,,,11.25,,,0.21,2.28,5.6,,3.91,0.75,0.43,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"ANDESITE, igneous:volcanic:intermediate","WANLESS, 2011",EMP,JASON 0266 , 
JS20266-054, ,GL,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,9.14626,-104.202626,-2547,SPREADING_CENTER,"ANDESITE, igneous:volcanic:intermediate","WANLESS, 2011",FTIR,JASON 0266 , 
JS20266-054, ,GL,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"ANDESITE, igneous:volcanic:intermediate","WANLESS, 2011",FTIR,JASON 0266 , 
JS20266-057, ,GL,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,9.147119,-104.199366,-2585,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2011",FTIR,JASON 0266 , 
JS20266-057, ,GL,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2011",FTIR,JASON 0266 , 
JS20266-058, ,GL,63,1.1,13.1,,,,8.43,,,0.16,1.75,4.34,,3.63,0.96,0.26,,,,,,,,,,,,,,,,,9.147754,-104.197726,-2604,SPREADING_CENTER,"DACITE, igneous:volcanic:felsic","WANLESS, 2010",EMP,JASON 0266 , 
