Sample_ID,IGSN,Material,He,He3,He4,He3_He4,He3_He4(R/Ra),He4_Ar40,Ar,Ar36,Ar38,Ar40,Ar40_RG,Ar38_Ar36,Ar36_Ar40,Ar40_Ar36,Ar40_Ar39,Ne,Ne20,Ne22,Ne20_Ne22,Ne21_Ne22,Kr78,Kr82,Kr83,Kr84,Kr86,Kr90,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe134,Xe136,Xe129_Xe132,Xe136_Xe132,U234_ACTIVITY,U238_ACTIVITY,U234_U238_ACTIVITY,U234_U238,U238_Th230,U238_Th232_ACTIVITY,U238_Th232,U238_Pb204,DELTA_U234,Th230_ACTIVITY,Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Th230_U238,Th232_U238,Th232_Pb204,Th228_Th232,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pb210,CO2,F,Cl,N2,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
ALV1839-021, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,18.27,144.68,-3829,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",IR-SP,ALVIN 1839 , 
ALV1839-021, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,18.27,144.68,-3829,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",EMP,ALVIN 1839 , 
ALV1839-021, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,18.27,144.68,-3829,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","NEWMAN, 2000",FTIR,ALVIN 1839 , 
ALV1840-003, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,18.18,144.72,-3283,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",IR-SP,ALVIN 1840 , 
ALV1840-003, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,18.18,144.72,-3283,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",EMP,ALVIN 1840 , 
ALV1840-003, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,18.18,144.72,-3283,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","NEWMAN, 2000",FTIR,ALVIN 1840 , 
ALV1846-009, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,18.33,144.67,-3814,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",IR-SP,ALVIN 1846 , 
ALV1846-009, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,18.33,144.67,-3814,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",EMP,ALVIN 1846 , 
ALV1846-012, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,18.33,144.67,-3814,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",IR-SP,ALVIN 1846 , 
ALV1846-012, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,,18.33,144.67,-3814,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",EMP,ALVIN 1846 , 
