Sample_ID,IGSN,Material,He,He3,He4,He3_He4,He3_He4(R/Ra),He4_Ar40,Ar,Ar36,Ar38,Ar40,Ar40_RG,Ar38_Ar36,Ar36_Ar40,Ar40_Ar36,Ar40_Ar39,Ne,Ne20,Ne22,Ne20_Ne22,Ne21_Ne22,Kr78,Kr82,Kr83,Kr84,Kr86,Kr90,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe134,Xe136,Xe129_Xe132,Xe136_Xe132,U234_ACTIVITY,U238_ACTIVITY,U234_U238_ACTIVITY,U234_U238,U238_Th230,U238_Th232_ACTIVITY,U238_Th232,U238_Pb204,DELTA_U234,Th230_ACTIVITY,Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Th230_U238,Th232_U238,Th232_Pb204,Th228_Th232,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pb210,CO2,F,Cl,N2,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
MOA8518-042-A, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.147,,-3.16,150.285,-2480,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SINTON, 2003",MS,MW8518 , 
MOA8518-043-001, ,GL,0.000000118,,,,11.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.148333333,150.3216667,-2510,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","MACPHERSON, 1998",MS,MW8518 , 
MOA8518-043-001, ,GL,0.000000118,,,,11.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.148,150.322,-2545,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","MACPHERSON, 1998",MS,MW8518 , 
MOA8518-043-001, ,GL,0.000000092,,,,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.148333333,150.3216667,-2510,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","MACPHERSON, 1998",MS,MW8518 , 
MOA8518-043-001, ,GL,0.000000092,,,,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.148,150.322,-2545,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","MACPHERSON, 1998",MS,MW8518 , 
MOA8518-043-001, ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,-3.148333333,150.3216667,-2510,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SINTON, 2003",NN,MW8518 , 
MOA8518-043-001, ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,-3.148,150.322,-2545,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SINTON, 2003",NN,MW8518 , 
MOA8518-043-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,-3.148333333,150.3216667,-2510,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-043-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,-3.148,150.322,-2545,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-043-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,,,,-3.148333333,150.3216667,-2510,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-043-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,,,,-3.148,150.322,-2545,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-043-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.3,,,,-3.148333333,150.3216667,-2510,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
